,name,location,tweet,friends,followers,status_count,time,device_type,sentiments,text
0,bayonuels,"oyo, nigeria","rt @rasheedfuggi: english: we are dead! abubakar

yoruba: atiku abubakar https://t.co/3qocxwq1bs",7015,6428,29310,2019-10-30 14:51:23+00:00,android,negative,rasheedfuggi english dead abubakar yoruba atiku abubakar
1,geo_geomoney,"lagos, nigeria","to hell with atiku!!!
to hell to @officialpdpnig 
congratulations @mbuhari 
congratulations nigerians!!!!

hip hip hurray!!!!",754,783,6459,2019-10-30 14:51:23+00:00,android,neutral,hell atiku hell officialpdpnig congratulation mbuhari congratulation nigerian hip hip hurray
2,mahmud19971,birmingham x abuja ,"rt @abdulmahmud01: judge who? you guys are the problem. you were busy doing arithmetic permutation of 4 v 3 judges in favour of atiku, when…",325,244,11869,2019-10-30 14:51:24+00:00,iOS,positive,abdulmahmud01 judge guy problem busy arithmetic permutation 4 v 3 judge favour atiku
3,Irisali14,abuja nigeria,@daily_trust @mbuhari https://t.co/zkvoweowfa,453,83,1799,2019-10-30 14:51:25+00:00,other,neutral,daily trust mbuhari
4,segilolaa,lagos,"rt @officialapcng: with the ruling of the supreme court, which has finally affirmed president buhari's election victory, we enjoin the pdp…",1153,5109,59768,2019-10-30 14:51:26+00:00,android,neutral,officialapcng ruling supreme court finally affirmed president buhari election victory enjoin pdp
5,Odigwefranklin,"abuja, nigeria","rt @akaebube: my attention has been drawn to the fact that supreme court has dismissed atiku's appeal

today's episode reminds of when clat…",525,244,13701,2019-10-30 14:51:27+00:00,android,neutral,akaebube attention drawn fact supreme court dismissed atiku appeal today episode reminds clat
6,Khanzada_90,"ahsa, kingdom of saudi arabia",@realchizoba atiku,2448,2489,2518,2019-10-30 14:51:28+00:00,android,neutral,realchizoba atiku
7,segilolaa,lagos,rt @officialapcng: the pdp and atiku should not confuse opposition politics for their unpatriotic agenda. democratic politics cannot be pra…,1153,5109,59769,2019-10-30 14:51:30+00:00,android,neutral,officialapcng pdp atiku confuse opposition politics unpatriotic agenda democratic politics cannot pra
8,Lil_peace2,nigeria,"rt @ogundamisi: the usual suspects started abusing the supreme court judges yet? or they are waiting for the green light?

so @atiku is no…",1538,1817,15441,2019-10-30 14:51:30+00:00,android,negative,ogundamisi usual suspect started abusing supreme court judge yet waiting green light atiku
9,uniquechukwuma,"lagos, nigeria",@thecableng @mbuhari @atiku @peterobi so youths are seriously celebrating this particular government? i wonder wher… https://t.co/zniqa2diq8,2858,2299,2961,2019-10-30 14:51:30+00:00,other,negative,thecableng mbuhari atiku peterobi youth seriously celebrating particular government wonder wher
